sample_id,subsys_id,work_order_id,start_ts,end_ts,group_id,label,PIP_TT3155*__lempel_ziv_complexity__bins_5,"PIP_IIC3110*__fft_coefficient__attr_""imag""__coeff_2",PIP_PDT3110*__first_location_of_minimum,"PIP_FI3110*__fft_coefficient__attr_""angle""__coeff_92","PIP_PDT3110*__fft_coefficient__attr_""angle""__coeff_15"
0,1C,1496609,2012-04-22 14:02:00,2012-04-23 02:02:00,0,0,0.11511789181692095,89.25001141781445,0.07350901525658808,58.91003298865007,134.73307070484975
1,1C,1496609,2012-05-03 15:22:00,2012-05-04 03:22:00,1,1,0.0970873786407767,-89.16216611352957,0.10124826629680997,-151.5902282051071,28.44523628328607
2,1C,1512986,2012-06-06 10:08:00,2012-06-06 22:08:00,2,0,0.11095700416088766,-63.696126219774605,0.14008321775312066,3.5176449673680112,86.99487307278059
3,1C,1512986,2012-06-17 17:07:00,2012-06-18 05:07:00,3,1,0.06657420249653259,-2106.513926176508,0.9597780859916782,-107.6143038690768,-62.14267900494464
4,1C,1556777,2012-07-17 16:17:00,2012-07-18 04:17:00,4,0,0.10263522884882108,104.89079221484819,0.7711511789181692,-40.028944872504724,169.81975611893668
5,1C,1556777,2012-07-23 00:09:00,2012-07-23 12:09:00,5,1,0.0651872399445215,-649.3448101545555,0.9972260748959778,-70.23707567177381,-85.98329690814268
6,1C,1577702,2012-09-02 04:30:00,2012-09-02 16:30:00,6,0,0.10540915395284328,786.9848505410602,0.6962552011095701,110.23304170823006,73.44951488859047
7,1C,1577702,2012-09-09 20:02:00,2012-09-10 08:02:00,7,1,0.0638002773925104,-3583.5225396928117,0.9889042995839112,-54.020260515879876,-97.5251652807495
8,1C,1635767,2012-12-04 01:10:00,2012-12-04 13:10:00,8,1,0.10402219140083216,-417.3914387787272,0.9916782246879334,133.6089468439233,-101.75972642106542
9,1C,1685814,2013-01-29 13:57:00,2013-01-30 01:57:00,9,0,0.10540915395284328,-31.16973984706121,0.5214979195561721,128.33729179355214,-149.8192266994865
10,1C,1685814,2013-02-07 03:27:00,2013-02-07 15:27:00,11,1,0.06102635228848821,-1022.4378780721387,0.9889042995839112,-44.56693705113697,-121.94645550925155
11,1C,1703354,2013-02-17 14:23:00,2013-02-18 02:23:00,12,0,0.12066574202496533,4226.546873339985,0.5034674063800277,93.75876239760073,23.276099096781536
12,1C,1703354,2013-02-24 01:52:00,2013-02-24 13:52:00,13,1,0.10124826629680997,-1305.240509330666,0.7267683772538142,-120.5535818503294,-155.5722511380669
13,1C,1784052,2013-06-09 15:16:00,2013-06-10 03:16:00,14,0,0.0970873786407767,293.78775214168706,0.3009708737864077,-132.42298869556922,-49.9906168553697
14,1C,1784052,2013-06-19 19:00:00,2013-06-20 07:00:00,15,1,0.10818307905686546,565.3569710039927,0.9861303744798889,-43.018923882470595,-120.68082055238163
15,1C,1841373,2013-08-28 15:19:00,2013-08-29 03:19:00,16,0,0.10957004160887657,273.7773179740618,0.7905686546463245,80.10292787002501,66.63375037259705
16,1C,1841373,2013-09-06 23:48:00,2013-09-07 11:48:00,17,1,0.06934812760055477,-547.7683767326059,0.972260748959778,-79.4018428062942,-92.46748413741736
17,1C,1851110,2013-09-09 14:02:00,2013-09-10 02:02:00,18,0,0.10957004160887657,473.32376530223,0.02219140083217753,-27.68379352198824,56.384303632565924
18,1C,1851110,2013-09-17 21:35:00,2013-09-18 09:35:00,19,1,0.0651872399445215,-2881.021431776997,0.9930651872399444,-50.27121935707901,-89.3520410109588
19,1C,1959951,2014-02-12 16:33:00,2014-02-13 04:33:00,20,0,0.11095700416088766,-66.96758382439265,0.871012482662968,171.52913411101142,138.17385463978886
20,1C,1959951,2014-02-18 01:46:00,2014-02-18 13:46:00,21,1,0.09986130374479887,-304.6983310309851,0.7503467406380028,-150.46834492452498,-154.0563482292679
21,1C,2229016,2015-01-27 14:21:00,2015-01-28 02:21:00,22,0,0.10402219140083216,685.078581718789,0.04715672676837725,-43.42561966615217,112.95580864034544
22,1C,2235850,2015-01-31 13:01:00,2015-02-01 01:01:00,24,0,0.10124826629680997,133.13657044613043,0.14147018030513175,-7.7311269820098225,106.3668941102232
23,1C,2235850,2015-02-12 04:34:00,2015-02-12 16:34:00,25,1,0.09986130374479887,-207.80677522048637,0.6685159500693482,-99.08253399673958,84.3137030626058
24,1C,2309258,2015-05-07 15:18:00,2015-05-08 03:18:00,26,0,0.10957004160887657,1354.138915418658,0.030513176144244106,113.85484030320856,75.3438118043653
25,1C,2393737,2015-08-27 07:40:00,2015-08-27 19:40:00,27,1,0.07489597780859916,-266.34184368456056,0.984743411927878,-107.07461823605276,-86.60546603025058
26,1C,2419041,2015-09-19 15:22:00,2015-09-20 03:22:00,28,0,0.11650485436893206,380.99245311099924,0.8723994452149791,-36.82412301517533,-49.353891449714524
27,1C,2419041,2015-09-26 06:06:00,2015-09-26 18:06:00,29,1,0.10402219140083216,-156.2715062886753,0.8529819694868238,-153.2735548978216,-81.84429938590817
28,1C,2433591,2015-10-07 15:17:00,2015-10-08 03:17:00,30,0,0.11095700416088766,-29.58433359825879,0.17891816920943135,-39.3322908191421,20.80923572337856
29,1C,2439118,2015-10-14 15:07:00,2015-10-15 03:07:00,32,0,0.1248266296809986,728.4916161320723,0.289875173370319,131.68897329910973,-66.28365003503943
30,1C,2439118,2015-10-19 10:14:00,2015-10-19 22:14:00,33,1,0.06657420249653259,-3589.7155999731426,0.9791955617198336,-147.3247022281066,-60.71393100916873
31,1C,2464303,2015-11-10 14:17:00,2015-11-11 02:17:00,34,0,0.10818307905686546,-12.85788835905231,0.3758668515950069,127.02520084091326,98.45531175061085
32,1C,2464303,2015-11-21 10:22:00,2015-11-21 22:22:00,35,1,0.05825242718446603,-2722.065295286663,0.9889042995839112,-11.926874091539574,-135.8798173633834
33,1C,2468196,2015-11-16 14:13:00,2015-11-17 02:13:00,36,0,0.11373092926490985,173.78624626605472,0.1900138696255201,125.36060981201194,157.00054346400404
34,1C,2468196,2015-11-24 00:34:00,2015-11-24 12:34:00,37,1,0.10818307905686546,225.63297851458168,0.7628294036061026,-129.2860687437909,-151.3929576685397
35,1C,2468269,2015-11-17 14:19:00,2015-11-18 02:19:00,38,0,0.10818307905686546,20.786407803373717,0.406380027739251,174.78086715299978,-62.71262083692869
36,1C,2471459,2015-11-20 02:56:00,2015-11-20 14:56:00,41,0,0.11927877947295425,-118.06024482939031,0.22468793342579751,102.71939366692888,93.2332422388865
37,1C,2471459,2015-11-30 15:37:00,2015-12-01 03:37:00,42,1,0.10402219140083216,-76.17271091092266,0.9042995839112344,-157.24558470584523,-88.13140784602486
38,1C,2484129,2015-12-04 14:22:00,2015-12-05 02:22:00,43,0,0.11095700416088766,-161.98938019276002,0.30374479889042993,140.04001976494672,-57.232931479948405
39,1C,2484129,2015-12-13 03:31:00,2015-12-13 15:31:00,44,1,0.0638002773925104,-1127.5380463647568,0.9902912621359224,-75.65511744131447,-107.09387238965664
